"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:functionalEquivalenceRelation_role","has the role of the Functional Equivalence Relation","a le rôle de la Relation d’équivalence fonctionnelle","desempeña el papel de la Relación de equivalencia funcional","Connects a FunctionalEquivalenceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the FunctionalEquivalenceRelation class. It should be used only when you have to manage instances of the FunctionalEquivalenceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","instantiationToInstantiationRelation_role","FunctionalEquivalenceRelation","FunctionalEquivalenceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the FunctionalEquivalenceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:groupSubdivisionRelation_role","has the role of the Group Subdivision Relation","a le rôle de la Relation de subdivision entre groupes d’agents","desempeña el papel de la Relación de subdivisión entre grupos de agentes","Connects a GroupSubdivisionRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the GroupSubdivisionRelation class. It should be used only when you have to manage instances of the GroupSubdivisionRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","agentHierarchicalRelation_role; wholePartRelation_role","GroupSubdivisionRelation","GroupSubdivisionRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the GroupSubdivisionRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:hadComponent","had component","a eu pour composant","tenía como componente","Connects an Instantiation to another Instantiation that was its component in the past.","","","hadPart; hasOrHadComponent","Instantiation","Instantiation","wasComponentOf","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between instantiations (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadConstituent","had constituent","a eu pour constituant","tenía como elemento constitutivo","Connects a Record or Record Part to another Record or Record Part that was its constituent in the past.","","","hadPart; hasOrHadConstituent","Record ; RecordPart","Record ; RecordPart","wasConstituentOf","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between Record and Record or Record Part (the current partitive relations being also added, including a transitive one). | 2023-10-26 : Added RecordPart to the domain. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadPart","had part","a eu pour partie","tenía como parte","Connects a Thing to a Thing that was a constitutive or component part of that Thing in the past.","","","hasOrHadPart","Thing","Thing","wasPartOf","","","2023-07-12 : Object property added, along with its inverse property, in order to enable to express past partitive relations between things (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadSubdivision","had subdivision","a eu pour subdivision","tenía como subdivisión","Connects a Group to one of its past subdivisions.","","","hadPart; hadSubordinate; hasOrHadSubdivision","Group","Group","wasSubdivisionOf","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between groups (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadSubevent","had subevent","a été constitué de l’événement","tenía como parte de evento","Connects a past Event to one of a series of past Events that constituted that original, broader, past Event.","","","hadPart; hasOrHadSubevent","Event","Event","wasSubeventOf","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express partitive relations between past Events (the partitive relations between ongoing events being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadSubordinate","had subordinate","a eu pour subalterne","tenía como subordinado o subordinada a","Connects an Agent to an Agent that was hierarchically inferior in the past.","","","hasOrHadSubordinate","Agent","Agent","wasSubordinateTo","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express past subordination relations between Agents (the current subordination relations being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasAccumulationDate","has accumulation date","a pour date d'accumulation","tiene como fecha de acumulación","Inverse of 'is accumulation date of' object property.","","","hasOrganicProvenanceDate","Instantiation ; RecordResource","Date","isAccumulationDateOf","","thingIsSourceOfRelation/accumulationRelation_role/relationHasDate","2024-10-04 : Added in RiC-O 1.1. | 2024-12-19 : Connect to AccumulationRelation via a sub-property chain, and make a sub-property of the new object property 'hasOrganicProvenanceDate'."
"rico:hasAccumulator","has accumulator","est accumulé par","tiene como acumulador a","Connects a Record Resource or an Instantiation to the Agent that accumulates it, be it intentionally (collecting) or not (receiving in the course of its activities).","","RiC-R028 ('has accumulator' relation)","hasOrganicProvenance","Instantiation ; RecordResource","Agent","isAccumulatorOf","","thingIsSourceOfRelation/accumulationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new accumulationRelation_role object property."
"rico:hasActivityType","has activity type","a pour type d’activité","tiene como tipo de actividad","Connects an Activity to an Activity Type that categorizes it.","","","hasOrHadType","Activity","ActivityType","isActivityTypeOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2025-04-06 : Fixed the Spanish label."
"rico:hasAddressee","has addressee","a pour destinataire","se dirige a","Connects a Record Resource or an Instantiation to the Agent that it is addressed to.","The identity of the addressee is (usually) evidenced by the Record Resource or Instantiation itself.","RiC-R032 ('has addressee' relation)","hasOrganicProvenance","Instantiation ; RecordResource","Agent","isAddresseeOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasAncestor","has ancestor","a pour ancêtre","tiene como ancestro a","Inverse of 'has descendant' object property. This is a transitive relation.","","RiC-R017i (has ancestor relation)","hasFamilyAssociationWith; isSuccessorOf","Person","Person","hasDescendant","TransitiveProperty","thingIsTargetOfRelation/descendanceRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-09-08 : made property transitive | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new descendanceRelation_role object property."
"rico:hasAuthor","has author","a pour responsable intellectuel","tiene como autor a","Connects a Record to the Group, Person or Position that is responsible for conceiving and formulating the information contained in the Record.","To be used for a Person, Group or Position that makes any contribution to the content of a record. Includes the Person, Group or Position in whose name or by whose command the content may have been formulated and first instantiated (for example the Person who signed the Record).","RiC-R079 ('has author' relation)","hasCreator","Record","Group ; Person ; Position","isAuthorOf","","thingIsSourceOfRelation/authorshipRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new authorshipRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasBeginningDate","has beginning date","a pour date de début","tiene como fecha de inicio","Inverse of 'is beginning date of' object property.","","RiC-R069i ('has beginning date' relation)","isAssociatedWithDate","Thing","Date","isBeginningDateOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasBirthDate","has birth date","a pour date de naissance","tiene como fecha de nacimiento","Inverse of 'is birth date of' object property.","","RiC-R070i ('has birth date' relation)","hasBeginningDate","Person","Date","isBirthDateOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasBirthPlace","has birth place","a pour lieu de naissance","tiene como lugar de nacimiento","Inverse of 'is birth place of' object property.","","","isAgentAssociatedWithPlace","Person","Place","isBirthPlaceOf","","","2023-10-19 : Added for RiC-O 1.0. | 2023-10-26 : Fixed the domain of the property. | 2023-11-12 : Updated the description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
